f 0
f 1
f 2
p 1 -47.4493 -64.958
-49.0814 -36.5572  82.2606
-51.4167 -37.3651  97.8529
 -53.752 -38.2908  113.431
-56.0955 -39.2455  128.995
-54.9535 -43.0564  129.118
-51.4031 -54.8183  129.121
-44.1846 -60.5216  105.938
  -54.63 -54.6483  83.8009
-56.7191 -53.4736  79.3735
-60.8973 -51.1242  70.5187
-54.8055 -47.8287  74.2434
-57.3638  -35.464  129.193
-61.4517 -23.8854  129.204
-61.5036 -23.1899   104.31
-73.5463 -33.0753  84.3312
-77.0341  -36.153  81.6868
-84.0097 -42.3083  76.3979
-75.8815 -43.5235  77.9181
-46.5565 -45.2577   82.398
-47.6092 -49.5937  42.0324
-51.7748 -57.3072  10.1382
-62.1959 -56.0279   2.6139
 -51.945 -27.9896  82.1328
-51.2055 -29.6685   40.605
-51.9333 -35.9609  8.14014
 -61.5691   -34.541 -0.344244
-68.2074 -41.8168  138.761
-72.5304 -41.4722  142.972
-71.8678 -42.7055  149.827
-64.0687 -45.9648   149.33
-73.7571 -36.1551  147.351
-66.3283 -27.6773  149.103
-49.6897 -60.3047  2.01483
 -48.964 -38.5316 0.146636
p 2 -47.9864 44.2924
-36.3877  34.9433  86.4601
-37.8265  35.4602   104.36
-39.299 35.9332 122.262
-40.7789   36.412  140.171
-40.6012  31.5232  140.416
-40.0922  18.1744  140.834
-37.6941  12.6101  115.131
-40.0105  6.86117  90.4921
-40.4795   5.7124  85.5629
-41.4173  3.41486  75.7044
-41.1147  10.5225  79.2703
-40.9617  41.3027  140.122
-41.4393  54.6452  139.713
-37.9426  55.1446  113.796
-46.965 54.3242  90.791
-48.7695  54.1602  86.1899
-52.3785   53.832  76.9877
-49.7596  48.1193   81.479
-36.6939   24.734  86.7422
-48.8867  21.7608  42.6629
-51.9736  18.8297  2.12009
 -64.941  18.5238 -7.11905
-36.0533  45.1461  86.1926
-41.8694    44.48  40.8311
-32.044 42.7267 1.41071
-41.4431  42.9851 -11.4054
-51.8624   36.233  152.719
-nan -nan -nan
-58.4911  30.8748  167.868
-40.9344  28.0824  162.534
-nan -nan -nan
-35.5499  45.4682  156.452
-48.6871  17.9577 -8.31759
 -25.679  42.0717 -7.47897
p -4 164.218 -309.094
f 3
p 1 -47.449 -64.9508
-48.9612 -36.5754  82.4003
-51.2098 -37.4099  98.0317
-53.4613 -38.3869   113.64
-55.7197 -39.4027  129.222
-54.6089 -43.2174  129.315
-51.0923 -54.9607    129.2
-44.5273  -60.398  105.843
-55.8867 -53.5142  84.4457
-58.1586 -52.1374  80.1662
-62.7023 -49.3839  71.6073
-56.3627 -46.3518  75.1456
-56.9469 -35.6214  129.456
-60.9577 -24.0258  129.597
-62.3398  -23.345  104.284
-76.9074 -34.2113   85.344
 -80.549 -37.0717  82.7062
-87.8323 -42.7924  77.4306
 -79.752 -44.3313  78.7111
-46.6006 -45.3338  82.4586
-47.3346 -50.2733  42.2638
-49.4981 -59.0841  10.4665
-59.4499 -58.1585  2.29065
-51.6746  -27.942   82.362
